rougher	function	processing
family	purpose	purpose
building's	!	!
building	judges	judges
mayor's	!	!
mayor	judges	judges
evening's	!	!
evening	judges	judges
government's	!	!
government	judges	judges
school's	!	!
school	judges	judges
court's	!	!
court	201011	201314
child's	!	!
child	201011	201314
boy's	!	!
boy	201011	201314
county's	!	!
county	201011	201314
governor's	!	!
governor	201011	201314
victim's	!	!
victim	guitarist	guitarist
region's	!	!
region	guitarist	guitarist
park's	!	!
park	guitarist	guitarist
city's	!	!
city	guitarist	guitarist
week's	!	!
week	guitarist	guitarist
president's	!	!
president	committees	committees
girl's	!	!
girl	committees	committees
couple's	!	!
couple	committees	committees
film's	!	!
film	committees	committees
governor's	!	!
governor	committees	committees
mayor's	!	!
mayor	non-families	non-families
evening's	!	!
evening	non-families	non-families
couple's	!	!
couple	non-families	non-families
center's	!	!
center	non-families	non-families
band's	!	!
band	non-families	non-families
mayor's	!	!
mayor	intensive	intensive
region's	!	!
region	intensive	intensive
attorney's	!	!
attorney	intensive	intensive
doctor's	!	!
doctor	intensive	intensive
administration's	!	!
administration	intensive	intensive
church's	!	!
church	smithsonian	smithsonian
evening's	!	!
evening	smithsonian	smithsonian
mother's	!	!
mother	smithsonian	smithsonian
university's	!	!
university	smithsonian	smithsonian
week's	!	!
week	smithsonian	smithsonian
author's	!	!
author	meantime	meantime
president's	!	!
president	meantime	meantime
judge's	!	!
judge	meantime	meantime
community's	!	!
community	meantime	meantime
town's	!	!
town	meantime	meantime
network's	!	!
network	samoa	samoa
town's	!	!
town	samoa	samoa
party's	!	!
party	samoa	samoa
band's	!	!
band	samoa	samoa
league's	!	!
league	samoa	samoa
park's	!	!
park	administrators	administrators
bank's	!	!
bank	administrators	administrators
son's	!	!
son	administrators	administrators
doctor's	!	!
doctor	administrators	administrators
father's	!	!
father	administrators	administrators
president's	!	!
president	serie	serie
author's	!	!
author	serie	serie
woman's	!	!
woman	serie	serie
man's	!	!
man	serie	serie
family's	!	!
family	serie	serie
author's	!	!
author	construction	construction
night's	!	!
night	construction	construction
boy's	!	!
boy	construction	construction
play's	!	!
play	construction	construction
father's	!	!
father	construction	construction
building's	!	!
building	asia	asia
mayor's	!	!
mayor	asia	asia
committee's	!	!
committee	asia	asia
community's	!	!
community	asia	asia
driver's	!	!
driver	asia	asia
judge's	!	!
judge	synod	synod
baseball's	!	!
baseball	synod	synod
game's	!	!
game	synod	synod
doctor's	!	!
doctor	synod	synod
jury's	!	!
jury	synod	synod
victim's	!	!
victim	rational	rational
world's	!	!
world	rational	rational
play's	!	!
play	rational	rational
team's	!	!
team	rational	rational
jury's	!	!
jury	rational	rational
church's	!	!
church	eldest	eldest
today's	!	!
today	eldest	eldest
daughter's	!	!
daughter	eldest	eldest
group's	!	!
group	eldest	eldest
governor's	!	!
governor	eldest	eldest
industry's	!	!
industry	meat	meat
council's	!	!
council	meat	meat
couple's	!	!
couple	meat	meat
county's	!	!
county	meat	meat
union's	!	!
union	meat	meat
hospital's	!	!
hospital	abstract	abstract
couple's	!	!
couple	abstract	abstract
community's	!	!
community	abstract	abstract
general's	!	!
general	abstract	abstract
county's	!	!
county	abstract	abstract
association's	!	!
association	investment	investment
artist's	!	!
artist	investment	investment
doctor's	!	!
doctor	investment	investment
university's	!	!
university	investment	investment
governor's	!	!
governor	investment	investment
evening's	!	!
evening	monaco	monaco
show's	!	!
show	monaco	monaco
community's	!	!
community	monaco	monaco
network's	!	!
network	monaco	monaco
week's	!	!
week	monaco	monaco
city's	cdp	cdp
city	!	!
bill's	voters	voters
bill	!	!
everyone's	isn	isn
everyone	!	!
group's	mcdonald	bollywood
group	!	!
week's	weekday	weekday
week	!	!
hospital's	!	!
hospital	doctorate	doctorate
family's	!	!
family	doctorate	doctorate
driver's	!	!
driver	doctorate	doctorate
book's	!	!
book	doctorate	doctorate
union's	!	!
union	doctorate	doctorate
president's	!	!
president	mlb	mlb
society's	!	!
society	mlb	mlb
station's	!	!
station	mlb	mlb
boy's	!	!
boy	mlb	mlb
county's	!	!
county	mlb	mlb
building's	!	!
building	ronnie	ronnie
agency's	!	!
agency	ronnie	ronnie
month's	!	!
month	ronnie	ronnie
world's	!	!
world	ronnie	ronnie
jury's	!	!
jury	ronnie	ronnie
year's	!	!
year	lok	lok
victim's	!	!
victim	lok	lok
society's	!	!
society	lok	lok
family's	!	!
family	lok	lok
game's	!	!
game	lok	lok
country's	!	!
country	sciences	sciences
day's	!	!
day	sciences	sciences
government's	!	!
government	sciences	sciences
doctor's	!	!
doctor	sciences	sciences
governor's	!	!
governor	sciences	sciences
author's	!	!
author	comic	comic
dollar's	!	!
dollar	comic	comic
mother's	!	!
mother	comic	comic
woman's	!	!
woman	comic	comic
center's	!	!
center	comic	comic
nation's	!	!
nation	non-families	non-families
husband's	!	!
husband	non-families	non-families
artist's	!	!
artist	non-families	non-families
play's	!	!
play	non-families	non-families
game's	!	!
game	non-families	non-families
person's	!	!
person	veterinary	veterinary
world's	!	!
world	veterinary	veterinary
driver's	!	!
driver	veterinary	veterinary
jury's	!	!
jury	veterinary	veterinary
administration's	!	!
administration	veterinary	veterinary
bank's	!	!
bank	wedding	wedding
everyone's	!	!
everyone	wedding	wedding
area's	!	!
area	wedding	wedding
family's	!	!
family	wedding	wedding
team's	!	!
team	wedding	wedding
dollar's	!	!
dollar	cdp	cdp
weekend's	!	!
weekend	cdp	cdp
program's	!	!
program	cdp	cdp
school's	!	!
school	cdp	cdp
jury's	!	!
jury	cdp	cdp
husband's	!	!
husband	parkway	parkway
wife's	!	!
wife	parkway	parkway
network's	!	!
network	parkway	parkway
doctor's	!	!
doctor	parkway	parkway
team's	!	!
team	parkway	parkway
night's	!	!
night	rebounds	rebounds
baseball's	!	!
baseball	rebounds	rebounds
company's	!	!
company	rebounds	rebounds
book's	!	!
book	rebounds	rebounds
governor's	!	!
governor	rebounds	rebounds
child's	!	!
child	lawyer	lawyer
building's	!	!
building	lawyer	lawyer
bank's	!	!
bank	lawyer	lawyer
man's	!	!
man	lawyer	lawyer
life's	!	!
life	lawyer	lawyer
master's	!	!
master	infant	infant
project's	!	!
project	infant	infant
boy's	!	!
boy	infant	infant
attorney's	!	!
attorney	infant	infant
area's	!	!
area	infant	infant
council's	!	!
council	governing	governing
artist's	!	!
artist	governing	governing
doctor's	!	!
doctor	governing	governing
governor's	!	!
governor	governing	governing
book's	!	!
book	governing	governing
today's	!	!
today	novelist	novelist
system's	!	!
system	novelist	novelist
council's	!	!
council	novelist	novelist
state's	!	!
state	novelist	novelist
son's	!	!
son	novelist	novelist
museum's	!	!
museum	broadcast	broadcast
child's	!	!
child	broadcast	broadcast
family's	!	!
family	broadcast	broadcast
band's	!	!
band	broadcast	broadcast
book's	!	!
book	broadcast	broadcast
council's	!	!
council	gable	gable
man's	!	!
man	gable	gable
everyone's	!	!
everyone	gable	gable
world's	!	!
world	gable	gable
market's	!	!
market	gable	gable
state's	!	!
state	olympics	olympics
month's	!	!
month	olympics	olympics
department's	!	!
department	olympics	olympics
family's	!	!
family	olympics	olympics
patient's	!	!
patient	olympics	olympics
husband's	!	!
husband	infections	infections
night's	!	!
night	infections	infections
club's	!	!
club	infections	infections
judge's	!	!
judge	infections	infections
town's	!	!
town	infections	infections
tonight's	!	!
tonight	robbery	robbery
board's	!	!
board	robbery	robbery
dollar's	!	!
dollar	robbery	robbery
summer's	!	!
summer	robbery	robbery
party's	!	!
party	robbery	robbery
hospital's	!	!
hospital	systems	systems
husband's	!	!
husband	systems	systems
woman's	!	!
woman	systems	systems
state's	!	!
state	systems	systems
show's	!	!
show	systems	systems
mayor's	!	!
mayor	isn	isn
agency's	!	!
agency	isn	isn
show's	!	!
show	isn	isn
station's	!	!
station	isn	isn
area's	!	!
area	isn	isn
building's	!	!
building	married	married
life's	!	!
life	married	married
company's	!	!
company	married	married
union's	!	!
union	married	married
school's	!	!
school	married	married
church's	!	!
church	networks	networks
author's	!	!
author	networks	networks
night's	!	!
night	networks	networks
driver's	!	!
driver	networks	networks
jury's	!	!
jury	networks	networks
district's	!	!
district	journalist	journalist
summer's	!	!
summer	journalist	journalist
state's	!	!
state	journalist	journalist
son's	!	!
son	journalist	journalist
everyone's	!	!
everyone	journalist	journalist
country's	!	!
country	asks	asks
board's	!	!
board	asks	asks
industry's	!	!
industry	asks	asks
mother's	!	!
mother	asks	asks
commission's	!	!
commission	asks	asks
nation's	!	!
nation	voters	voters
couple's	!	!
couple	voters	voters
project's	!	!
project	voters	voters
patient's	!	!
patient	voters	voters
family's	!	!
family	voters	voters
district's	!	!
district	weekends	weekends
nation's	!	!
nation	weekends	weekends
station's	!	!
station	weekends	weekends
club's	!	!
club	weekends	weekends
son's	!	!
son	weekends	weekends
tonight's	!	!
tonight	sisters	sisters
country's	!	!
country	sisters	sisters
community's	!	!
community	sisters	sisters
father's	!	!
father	sisters	sisters
administration's	!	!
administration	sisters	sisters
mayor's	!	!
mayor	first-team	first-team
girl's	!	!
girl	first-team	first-team
community's	!	!
community	first-team	first-team
department's	!	!
department	first-team	first-team
family's	!	!
family	first-team	first-team
boy's	!	!
boy	morning	morning
film's	!	!
film	morning	morning
wife's	!	!
wife	morning	morning
family's	!	!
family	morning	morning
program's	!	!
program	morning	morning
region's	!	!
region	usd	usd
month's	!	!
month	usd	usd
bank's	!	!
bank	usd	usd
play's	!	!
play	usd	usd
union's	!	!
union	usd	usd
returned	mansion	mansion
return	discuss	discuss
returns	28th	28th
return	casey	casey
returned	blu-ray	mail
returns	discuss	discuss
determined	devils	devils
determine	variables	variables
determines	affects	affects
determine	finite	finite
determined	commandant	commandant
determines	teaches	teaches
ensured	cave	hastings
ensure	!	!
ensures	28th	28th
ensure	!	!
ensured	!	!
ensures	!	!
decided	cave	cave
decide	matched	options
decides	retire	retire
decide	asks	asks
decided	temporarily	temporarily
decides	concurrent	sunny
ended	1846	1846
end	treaties	treaties
ends	28th	28th
end	instantly	instantly
ended	opens	opens
ends	treaties	treaties
supported	implemented	spoken
support	seize	seize
supports	implemented	implemented
support	choose	choose
supported	language	language
supports	feel	feel
raised	december	december
raise	prefer	prefer
raises	adverse	therapy
raise	!	!
raised	!	!
raises	steal	steal
opened	spoken	spoken
open	demolished	broad
opens	auto	auto
open	singing	prosecutor
opened	mount	mount
opens	loop	loop
continued	observation	observation
continue	speeches	speeches
continues	adventures	adventures
continue	negotiate	negotiate
continued	alongside	alongside
continues	flute	flute
studied	dissertation	dissertation
study	baroque	baroque
studies	therapy	therapy
study	math	math
studied	1951	1951
studies	considers	considers
proved	forget	invest
prove	algebraic	algebraic
proves	afford	afford
prove	!	!
proved	!	!
proves	p	p
helped	invest	invest
help	comply	comply
helps	co-wrote	co-wrote
help	compensation	compensation
helped	survivor	survivor
helps	introduces	aims
called	letters	letters
call	determine	determine
calls	penny	penny
call	exclusively	exclusively
called	ignored	ignored
calls	origins	origins
considered	endorsed	endorsed
consider	networks	networks
considers	planning	planning
consider	self	self
considered	provisions	provisions
considers	enjoys	enjoys
asked	invest	invest
ask	determine	determine
asks	co-wrote	penny
ask	reluctant	reluctant
asked	non-families	crushed
asks	advisor	astronomical
provided	enhance	enhance
provide	provides	provides
provides	enhance	enhance
provide	education	education
provided	controlling	controlling
provides	mobile	copenhagen
eliminated	kim	kim
eliminate	round	round
eliminates	permits	permits
eliminate	!	!
eliminated	!	!
eliminates	displacement	displacement
thought	inspiration	inspiration
think	simulation	minerals
thinks	homeless	homeless
think	funny	funny
thought	giants	giants
thinks	puts	puts
showed	trumpet	trumpet
show	selective	selective
shows	p.m.	p.m.
show	architectural	architectural
showed	collins	collins
shows	atoms	patterns
took	session	session
take	fix	fix
takes	homeless	homeless
take	rubber	rubber
took	arabic	arabic
takes	opponent	opponent
looked	stranger	stranger
look	rio	quote
looks	stranger	stranger
look	stick	fun
looked	walked	walked
looks	sunk	sunk
paid	accused	accused
pay	tuition	tensions
pays	paid	visa
pay	eat	eat
paid	abroad	orleans
pays	pay	pay
remained	initially	top
remain	rio	rio
remains	creatures	creatures
remain	iconic	iconic
remained	public	public
remains	citation	static
bought	lease	sponsorship
buy	provider	provider
buys	stranger	stranger
buy	!	!
bought	!	!
buys	decoration	decoration
sought	sponsorship	sponsorship
seek	plots	plots
seeks	visa	visa
seek	eat	eat
sought	restore	restore
seeks	concurrent	territorial
produced	warner	1820
produce	itself	itself
produces	releases	releases
produce	x-ray	x-ray
produced	x-ray	x-ray
produces	cool	cool
thought	things	experts
think	prefer	prefer
thinks	reality	reality
think	refused	refused
thought	elisabeth	elisabeth
thinks	emotional	woman
understood	documentation	comparative
understand	behaviors	behaviors
understands	evolutionary	human
understand	!	!
understood	!	!
understands	seem	seem
ran	leinster	leinster
run	buddy	buddy
runs	runs	twist
run	sunderland	sunderland
ran	wicket	wicket
runs	watershed	watershed
reduced	weakened	vietnamese
reduce	passenger	beats
reduces	cellular	cellular
reduce	enzymes	enzymes
reduced	x-ray	x-ray
reduces	phases	phases
felt	retains	retains
feel	honest	honest
feels	conversation	conversation
feel	accusations	accusations
felt	creativity	creativity
feels	referring	referring
required	functional	functional
require	applicable	applicable
requires	constitute	constitute
require	automatic	automatic
required	automatic	automatic
requires	eat	eat
played	first-team	first-team
play	uruguay	uruguay
plays	oval	oval
play	da	da
played	midfielder	midfielder
plays	curved	curved
happened	didn	didn
happen	asks	asks
happens	forested	oval
happen	demise	demise
happened	posed	mandate
happens	eat	eat
had	arnold	arnold
have	railroads	railroads
has	pale	pale
have	co	co
had	lebanon	lebanon
has	vic	vic
opened	10000	10000
open	opens	opens
opens	mozart	mozart
open	prepare	prepare
opened	stoke	arsenal
opens	locks	locks
felt	reasoning	formal
feel	attractive	attractive
feels	silence	phenomena
feel	emotion	emotion
felt	stoke	stoke
feels	instantly	instantly
decided	plenty	plenty
decide	context	context
decides	decides	sends
decide	allowed	allowed
decided	disappointed	disappointed
decides	peace	peace
preserved	charitable	charitable
preserve	context	context
preserves	dating	dating
preserve	!	!
preserved	!	!
preserves	context	context
followed	spite	spite
follow	context	context
follows	algebraic	algebraic
follow	understood	understood
followed	novels	novels
follows	buck	buck
studied	completion	conceived
study	studying	atlas
studies	andhra	andhra
study	questions	questions
studied	methodist	methodist
studies	nitrogen	nitrogen
held	conceived	conceived
hold	1969	meal
holds	andhra	andhra
hold	am	am
held	sponsors	celtic
holds	2.0	suite
ended	conceived	conceived
end	surrendered	surrendered
ends	teenage	rod
end	1873	1873
ended	1873	1873
ends	shuttle	engagement
said	dove	dove
say	manner	manner
says	knows	knows
say	aunt	aunt
said	1873	1873
says	ask	ask
reduced	reduces	reduces
reduce	plasma	plasma
reduces	fibers	fibers
reduce	enzymes	enzymes
reduced	pathway	pathway
reduces	plasma	plasma
built	manufacture	manufacture
build	median	median
builds	develop	develop
build	mobility	mobility
built	decreasing	decreasing
builds	bounded	bounded
studied	diploma	diploma
study	chemistry	mean
studies	institutional	institutional
study	comparative	comparative
studied	graduating	graduating
studies	educated	considers
said	've	stack
say	jackie	jackie
says	knows	knows
say	valid	valid
said	defended	defended
says	loses	loses
developed	stack	stack
develop	complexity	complexity
develops	unions	unions
develop	nintendo	nintendo
developed	coordination	coordination
develops	learns	candy
reduced	fibers	fibers
reduce	depends	depends
reduces	fibers	fibers
reduce	0.1	0.1
reduced	intake	intake
reduces	bob	bob
extended	co.	co.
extend	java	gasoline
extends	dividing	dividing
extend	north-east	north-east
extended	lies	itv
extends	crossroads	crossroads
ensured	afford	cheshire
ensure	!	!
ensures	4.5	4.5
ensure	!	!
ensured	!	!
ensures	!	!
decided	decides	decides
decide	wants	wants
decides	reads	reads
decide	wanted	wanted
decided	keen	keen
decides	ted	ted
preserved	watershed	originating
preserve	caves	caves
preserves	seeks	seeks
preserve	!	!
preserved	!	!
preserves	relics	relics
saved	..	..
save	hurt	bring
saves	beetle	beetle
save	teammates	teammates
saved	overtime	overtime
saves	relics	relics
earned	all-ireland	all-ireland
earn	achieving	achieving
earns	b.a.	pharmaceutical
earn	!	!
earned	!	!
earns	teaches	teaches
paid	grants	paying
pay	pay	pay
pays	geometric	geometric
pay	stocks	stocks
paid	brief	brief
pays	pay	pay
learned	all-ireland	stealing
learn	filled	filled
learns	plastic	plastic
learn	feud	feud
learned	escapes	escapes
learns	word	word
accommodated	tonnes	tonnes
accommodate	!	!
accommodates	lift	lift
accommodate	!	!
accommodated	!	!
accommodates	!	!
saw	vault	vault
see	achieving	achieving
sees	referring	referring
see	meanwhile	meanwhile
saw	escapes	escapes
sees	'll	'll
tried	tries	tries
try	persuaded	persuaded
tries	!	!
try	inheritance	inheritance
tried	admits	admits
tries	!	!
learned	visitors	visitors
learn	advice	advice
learns	!	!
learn	realizes	realizes
learned	realizes	realizes
learns	!	!
followed	buddhism	buddhism
follow	pulled	pulled
follows	!	!
follow	evolutionary	suggest
followed	quantum	quantum
follows	!	!
found	processed	processed
find	reveal	reveal
finds	!	!
find	flexibility	flexibility
found	hiding	indicate
finds	!	!
turned	flowering	flowering
turn	fence	fence
turns	!	!
turn	convenient	unfortunately
turned	unfortunately	unfortunately
turns	!	!
provided	trade	trade
provide	convenient	convenient
provides	slow	slow
provide	fees	fees
provided	mechanics	mechanics
provides	database	database
improved	continuously	continuously
improve	monetary	monetary
improves	classified	classified
improve	!	!
improved	!	!
improves	interface	interface
required	optical	optical
require	monetary	monetary
requires	optical	optical
require	fees	fees
required	obliged	decree
requires	cooling	diagram
had	easter	easter
have	surprised	garnered
has	possess	genes
have	fees	fees
had	founders	founders
has	sees	sees
sold	co.	co.
sell	itunes	itunes
sells	develops	develops
sell	dubai	600
sold	multimedia	multimedia
sells	candy	candy
met	southeastern	southeastern
meet	hale	hale
meets	interact	interact
meet	outdoor	outdoor
met	researchers	researchers
meets	struggles	funeral
needed	contains	contains
need	mobility	mobility
needs	preventing	preventing
need	solving	solving
needed	managers	managers
needs	tells	tells
gave	hop	translated
give	hale	hale
gives	giving	giving
give	solving	participate
gave	involves	samuel
gives	tells	funeral
worked	poets	poets
work	hale	hale
works	vol	vol
work	wholly	wholly
worked	professors	professors
works	contacts	contacts
avoided	danger	danger
avoid	apology	apology
avoids	preventing	preventing
avoid	!	!
avoided	!	!
avoids	escapes	escapes
helped	sought	sought
help	build	build
helps	thoughts	thoughts
help	diaspora	diaspora
helped	diaspora	diaspora
helps	prompting	prompting
raised	gps	gps
raise	give	give
raises	steve	steve
raise	!	!
raised	!	!
raises	causes	causes
began	jenny	jenny
begin	obligations	obligations
begins	deep	deep
begin	midst	midst
began	protagonist	protagonist
begins	subsidiary	subsidiary
built	macdonald	macdonald
build	build	build
builds	subsidiary	loaded
build	aboriginal	aboriginal
built	hydrogen	hydrogen
builds	java	robbery
recognized	star	star
recognize	powers	powers
recognizes	f	f
recognize	merit	merit
recognized	inducted	inducted
recognizes	neurons	realm
knew	skating	crack
know	wait	wait
knows	crack	crack
know	wait	wait
knew	thinks	thinks
knows	biographer	commented
made	spells	spells
make	suspect	suspect
makes	eliminate	eliminate
make	cool	cool
made	cool	cool
makes	details	details
included	folklore	folklore
include	preceding	viable
includes	statistics	statistics
include	ramp	ramp
included	vancouver	vancouver
includes	anthology	anthology
avoided	departing	departing
avoid	suspect	suspect
avoids	fragments	fragments
avoid	!	!
avoided	!	!
avoids	critique	critique
reduced	hiv	hiv
reduce	phases	phases
reduces	compounds	chosen
reduce	proteins	proteins
reduced	adverse	adverse
reduces	phases	phases
met	assassinated	assassinated
meet	removal	removal
meets	noted	noted
meet	assumes	assumes
met	assumes	1940
meets	unanimously	listing
needed	keeps	keeps
need	innovative	innovative
needs	keeps	suspicious
need	fulfill	fulfill
needed	tight	tight
needs	diesel	diesel
liked	subsidiary	subsidiary
like	marriages	marriages
likes	dwelling	dwelling
like	meditation	os
liked	boyfriend	copenhagen
likes	marriages	marriages
reduced	fibers	fibers
reduce	carbon	carbon
reduces	fibers	fibers
reduce	displacement	specific
reduced	builds	builds
reduces	muscle	muscle
served	assassinated	assassinated
serve	1805	1805
serves	petition	rainbow
serve	1946	1946
served	copenhagen	copenhagen
serves	unanimously	unanimously
made	ranking	ranking
make	injection	injection
makes	finding	finding
make	existing	anything
made	rolls	rolls
makes	lloyd	lloyd
used	automobile	automobile
use	combine	combine
uses	automobile	pace
use	existing	existing
used	italy	italy
uses	method	method
saved	loves	kiss
save	dock	dock
saves	loves	loves
save	front	front
saved	touchdown	touchdown
saves	depth	depth
took	kiss	tackle
take	coaching	coaching
takes	arguably	arguably
take	anything	anything
took	kiss	kiss
takes	enables	enables
found	gates	gates
find	shallow	shallow
finds	sending	phantom
find	indicated	indicated
found	lover	lover
finds	shallow	shallow
knew	happened	happened
know	crushed	crushed
knows	throws	throws
know	else	else
knew	else	withdrawn
knows	drowned	drowned
proved	algebraic	algebraic
prove	temple	temple
proves	agrees	agrees
prove	!	!
proved	!	!
proves	tries	tries
joined	stationed	stationed
join	advisory	advisory
joins	tier	tier
join	nearest	nearest
joined	annexed	annexed
joins	virtual	virtual
opened	carriage	carriage
open	newer	newer
opens	employed	employed
open	stand	on
opened	network	network
opens	chose	chose
went	future	future
go	referred	referred
goes	agrees	agrees
go	jerusalem	jerusalem
went	dating	dating
goes	cds	cds
returned	sodium	sodium
return	recruited	recruited
returns	susan	susan
return	either	either
returned	programmes	programmes
returns	meanwhile	meanwhile
discussed	iconic	iconic
discuss	commissioners	commissioners
discusses	discussing	discussing
discuss	agenda	agenda
discussed	agenda	agenda
discusses	lengthy	lengthy
wanted	iconic	iconic
want	couldn	couldn
wants	susan	susan
want	pleasure	pleasure
wanted	loves	agenda
wants	wants	wants
sought	secure	secure
seek	why	rank
seeks	satisfy	satisfy
seek	agenda	agenda
sought	agenda	agenda
seeks	charged	rejection
reduced	sodium	sodium
reduce	phases	phases
reduces	discharge	discharge
reduce	dividing	dividing
reduced	proteins	proteins
reduces	preserved	preserved
called	consecutive	consecutive
call	everywhere	healing
calls	clips	freely
call	enterprise	enterprise
called	prosecutor	prosecutor
calls	looks	looks
felt	adding	adding
feel	didn	didn
feels	leaves	leaves
feel	effort	effort
felt	conscience	conscience
feels	permit	permit
discussed	lesbian	lesbian
discuss	surveys	surveys
discusses	ellen	ellen
discuss	moral	moral
discussed	genocide	prosecution
discusses	leaves	ph
thought	documentary	czech
think	didn	didn
thinks	shooting	shooting
think	innings	allison
thought	allison	allison
thinks	looks	looks
followed	designated	designated
follow	generated	generated
follows	occur	virtually
follow	modeled	modeled
followed	captained	genocide
follows	alternating	alternating
considered	crushed	crushed
consider	telugu	telugu
considers	arbitrary	arbitrary
consider	wanted	wanted
considered	magistrate	magistrate
considers	arbitrary	arbitrary
started	crushed	grass
start	hop	liverpool
starts	taking	taking
start	rebounds	rebounds
started	crushed	crushed
starts	concludes	concludes
was	crushed	crushed
be	makeup	makeup
is	costs	costs
be	lime	lime
was	governed	governed
is	2019	2019
decided	crushed	crushed
decide	predicted	2019
decides	informs	informs
decide	wanted	wanted
decided	reside	reside
decides	2019	2019
gave	crushed	crushed
give	obama	presentation
gives	thinks	thinks
give	nearby	nearby
gave	impressed	impressed
gives	metacritic	presentation
reached	immigrant	immigrant
reach	weakened	weakened
reaches	climb	climb
reach	begun	begun
reached	decommissioned	decommissioned
reaches	tries	tries
lived	kinds	kinds
live	independence	independence
lives	snow	snow
live	thought	thought
lived	redskins	redskins
lives	independence	independence
required	firearms	laboratories
require	diagnostic	diagnostic
requires	receives	promotes
require	requirement	requirement
required	documentation	documentation
requires	instructed	instructed
celebrated	celebrating	celebrating
celebrate	cycles	cycles
celebrates	celebrating	celebrating
celebrate	!	!
celebrated	!	!
celebrates	judy	judy
ended	rebuilding	rebuilding
end	indoor	indoor
ends	throat	throat
end	preliminary	preliminary
ended	lancaster	lancaster
ends	throat	throat
raised	proceedings	proceedings
raise	lacked	lacked
raises	unanimously	sends
raise	!	!
raised	!	!
raises	kurdish	williamson
seemed	telling	telling
seem	ideal	supposed
seems	identifies	identifies
seem	hate	prolonged
seemed	occurred	occurred
seems	absolutely	absolutely
required	probably	probably
require	realized	target
requires	optical	slide
require	adoption	adoption
required	useful	useful
requires	enables	enables
showed	sketch	episode
show	gifted	gifted
shows	sketch	devils
show	poem	poem
showed	appearing	appearing
shows	gifted	gifted
served	fifty	fifty
serve	obama	obama
serves	1854	1854
serve	kansas	southwestern
served	lexington	lexington
serves	serving	serving
reached	airplay	located
reach	reaching	reaching
reaches	exceed	refuge
reach	dam	dam
reached	originates	originates
reaches	reaching	reaching
tried	beck	beck
try	knocked	knocked
tries	charlie	charlie
try	try	try
tried	promises	promises
tries	big	big
prevented	snails	snails
prevent	carefully	carefully
prevents	file	file
prevent	promises	promises
prevented	promises	promises
prevents	consequences	consequences
became	hosts	hosts
become	invention	invention
becomes	painters	painters
become	realize	promises
became	realize	realize
becomes	1856	1856
turned	concord	concord
turn	invention	invention
turns	vic	vic
turn	survives	promises
turned	promises	promises
turns	48	48
determined	systematic	systematic
determine	prosecutor	prosecutor
determines	relates	relates
determine	principle	principle
determined	space	space
determines	depend	depend
started	challenges	maximum
start	johns	johns
starts	face	face
start	polo	polo
started	solving	solving
starts	girlfriend	weekday
kept	barrier	barrier
keep	allan	allan
keeps	dogs	dogs
keep	mix	mix
kept	filter	organizing
keeps	asks	myself
served	saxon	saxon
serve	serving	serving
serves	mayor	mayor
serve	fm	fm
served	deposits	deposits
serves	tells	serves
said	reward	reward
say	guys	guys
says	tells	tells
say	dramas	dramas
said	intellectual	intellectual
says	tells	tells
eliminated	toll	toll
eliminate	stay	stay
eliminates	bin	bin
eliminate	!	!
eliminated	!	!
eliminates	semifinals	semifinals
asked	co-wrote	co-wrote
ask	stay	stay
asks	asks	bin
ask	luck	luck
asked	jimmy	jimmy
asks	yourself	competitor
got	shaw	shaw
get	get	warner
gets	etc	etc
get	pregnant	hang
got	jimmy	jimmy
gets	sit	sit
led	famed	famed
lead	integrate	integrate
leads	etc	etc
lead	disappearance	disappearance
led	jimmy	jimmy
leads	narrow	narrow
followed	determined	determined
follow	warner	warner
follows	narrow	narrow
follow	parliamentary	parliamentary
followed	follow	follow
follows	finite	finite
increased	ranged	ranged
increase	horizontal	horizontal
increases	steadily	steadily
increase	grow	grow
increased	earn	earn
increases	1795	1795
met	ra	ra
meet	feared	feared
meets	conrad	conrad
meet	bridges	trevor
met	accessed	runs
meets	ain	ain
became	1970s	1970s
become	deposits	deposits
becomes	circuits	circuits
become	talents	frontier
became	puts	juvenile
becomes	1795	dos
followed	tired	tired
follow	ghana	ghana
follows	jean	jean
follow	brandon	brandon
followed	discussing	discussing
follows	ain	ain
showed	sketch	sketch
show	far	far
shows	talk	talk
show	episodes	episodes
showed	mlb	mlb
shows	insects	insects
looked	mo	mo
look	proceed	proceed
looks	drink	drink
look	catch	catch
looked	observations	observations
looks	alter	alter
produced	producing	producing
produce	sold	designated
produces	drink	drink
produce	variety	variety
produced	liquid	liquid
produces	sketch	sketch
brought	instrumental	instrumental
bring	catch	catch
brings	jubilee	jubilee
bring	tired	tired
brought	prosecutor	500000
brings	hebrew	hebrew
needed	workforce	workforce
need	facts	facts
needs	keeps	keeps
need	economically	economically
needed	commitment	commitment
needs	notation	notation
learned	onto	onto
learn	algebraic	algebraic
learns	drink	drink
learn	tired	lover
learned	discover	discover
learns	sees	sees
made	nielsen	nielsen
make	home	home
makes	joy	joy
make	greg	lacked
made	warned	warned
makes	tobacco	tobacco
sent	defenders	defenders
send	layers	layers
sends	defenders	defenders
send	send	protective
sent	quickly	quickly
sends	tribe	tribe
received	nielsen	nielsen
receive	evening	evening
receives	streams	driver
receive	maintenance	lacked
received	50th	50th
receives	parent	tobacco
had	cnn	cnn
have	non-families	non-families
has	mixing	mixing
have	filled	filled
had	quickly	quickly
has	sketches	sketches
liked	solid	solid
like	careers	careers
likes	driver	driver
like	buck	lacked
