iraq	ottoman	ottoman
discovering	reveals	reveals
enhancing	abilities	abilities
flying	flies	flies
generating	turbines	turbines
going	you	you
implementing	develop	develop
increasing	decrease	decrease
inventing	!align="right	!align="right
jumping	athletics	athletics
listening	catch	catch
looking	you	you
moving	away	away
playing	playing	playing
predicting	assess	assess
reading	write	write
running	pitched	pitched
saying	you	you
screaming	!align="right	!align="right
seeing	i	i
sitting	sitting	sitting
slowing	fast	fast
swimming	swimming	swimming
thinking	you	you're
vanishing	!align="right	!align="right
walking	trail	trail
writing	stories	stories
coding	codes	codes
dancing	music	music
debugging	!align="right	!align="right
decreasing	increase	increase
describing	drawing	drawing
discovering	returns	returns
enhancing	abilities	abilities
flying	well-known	well-known
generating	turbines	turbines
going	gets	gets
implementing	enterprises	strategies
increasing	increases	increases
inventing	!align="right	!align="right
jumping	jumps	jumps
listening	phone	phone
looking	fall	fall
moving	studying	studying
playing	playing	playing
predicting	assess	assess
reading	arabic	arabic
running	strikeouts	strikeouts
saying	you	you
screaming	!align="right	!align="right
seeing	making	making
shuffling	!align="right	!align="right
slowing	faster	faster
swimming	swimming	swimming
thinking	i	i
vanishing	!align="right	!align="right
walking	walks	delivers
writing	book	scripts
coding	codes	codes
dancing	dancers	dancers
debugging	!align="right	!align="right
decreasing	increase	increase
describing	term	term
discovering	finds	finds
enhancing	improve	improve
flying	flying	flying
generating	energy	energy
going	stay	stay
implementing	accomplish	accomplish
increasing	increased	increased
inventing	!align="right	!align="right
jumping	jumping	jumping
listening	heard	heard
looking	something	something
moving	cousin	cousin
playing	playing	shakespeare
predicting	accurately	accurately
reading	poetry	waiting
running	pitched	ran
saying	you	something
screaming	!align="right	!align="right
seeing	pomerania	holy
shuffling	!align="right	!align="right
singing	singing	singing
swimming	!align="right	!align="right
thinking	!align="right	!align="right
vanishing	!align="right	!align="right
walking	!align="right	!align="right
writing	!align="right	!align="right
coding	!align="right	!align="right
dancing	!align="right	!align="right
debugging	!align="right	!align="right
decreasing	!align="right	!align="right
describing	!align="right	!align="right
discovering	!align="right	!align="right
enhancing	!align="right	!align="right
flying	!align="right	!align="right
generating	!align="right	!align="right
going	!align="right	!align="right
implementing	!align="right	!align="right
increasing	!align="right	!align="right
inventing	!align="right	!align="right
jumping	!align="right	!align="right
listening	!align="right	!align="right
looking	!align="right	!align="right
moving	!align="right	!align="right
playing	!align="right	!align="right
predicting	!align="right	!align="right
reading	!align="right	!align="right
running	!align="right	!align="right
saying	!align="right	!align="right
screaming	!align="right	!align="right
seeing	!align="right	!align="right
shuffling	!align="right	!align="right
singing	!align="right	!align="right
sitting	!align="right	!align="right
thinking	i	i
vanishing	!align="right	!align="right
walking	recreation	recreation
writing	wrote	wrote
coding	indoor	codes
dancing	dancers	dancers
debugging	!align="right	!align="right
decreasing	increase	decreases
describing	indoor	indoor
discovering	indoor	indoor
enhancing	facilities	facilities
flying	facilities	outdoor
generating	outdoor	outdoor
going	camping	camping
implementing	indoor	outdoor
increasing	decrease	decrease
inventing	!align="right	!align="right
jumping	indoor	championships
listening	facilities	facilities
looking	facilities	facilities
moving	indoor	facilities
playing	facilities	facilities
predicting	camping	camping
reading	indoor	facilities
running	facilities	facilities
saying	i	i
screaming	!align="right	!align="right
seeing	championships	championships
shuffling	!align="right	!align="right
singing	facilities	duet
sitting	sitting	sitting
slowing	facilities	slower
vanishing	!align="right	!align="right
walking	friendship	friendship
writing	book	reading
coding	philosophy	philosophy
dancing	dancers	dancers
debugging	!align="right	!align="right
decreasing	decreases	decreases
describing	critical	critical
discovering	reveals	reveals
enhancing	abilities	abilities
flying	remove	revealed
generating	turbines	turbines
going	revealed	revealed
implementing	plan	plan
increasing	decrease	increasing
inventing	!align="right	!align="right
jumping	athletics	freestyle
listening	dylan	dylan
looking	corpse	corpse
moving	revealed	revealed
playing	players	players
predicting	gather	gather
reading	reading	reading
running	pitched	pitched
saying	1778	revealed
screaming	!align="right	!align="right
seeing	revealed	revealed
shuffling	!align="right	!align="right
singing	chord	chord
sitting	sitting	sitting
slowing	tempo	tempo
swimming	swimmers	swimmers
walking	trail	trail
writing	book	book
coding	codes	codes
dancing	troupe	troupe
debugging	!align="right	!align="right
decreasing	increase	increase
describing	term	term
discovering	reveals	reveals
enhancing	abilities	abilities
flying	flies	flies
generating	turbines	turbines
going	you	you
implementing	develop	develop
increasing	decrease	decrease
inventing	!align="right	!align="right
jumping	athletics	athletics
listening	catch	catch
looking	you	you
moving	away	away
playing	playing	playing
predicting	assess	assess
reading	write	write
running	pitched	pitched
saying	you	you
screaming	!align="right	!align="right
seeing	i	i
shuffling	!align="right	!align="right
singing	duet	duet
sitting	sitting	sitting
slowing	fast	fast
swimming	swimming	swimming
thinking	i	i
writing	books	books
coding	codes	codes
dancing	performed	performed
debugging	!align="right	!align="right
decreasing	increase	increase
describing	sections	sections
discovering	investigating	investigating
enhancing	equally	equally
flying	aerial	ground
generating	renewable	renewable
going	trails	trails
implementing	procedures	procedures
increasing	decrease	decrease
inventing	!align="right	!align="right
jumping	athletics	ski
listening	youtube	youtube
looking	trails	see
moving	controversial	controversial
playing	playing	playing
predicting	assess	assess
reading	bible	bible
running	pitched	lead
saying	i	we
screaming	!align="right	!align="right
seeing	here	here
shuffling	!align="right	!align="right
singing	singing	equally
sitting	trails	investigating
slowing	fast	fast
swimming	swimming	swimming
thinking	i	i
vanishing	!align="right	!align="right
coding	codes	codes
dancing	performance	performance
debugging	!align="right	!align="right
decreasing	increase	increase
describing	verbal	verbal
discovering	math	math
enhancing	verbal	verbal
flying	math	math
generating	math	generator
going	can't	can't
implementing	math	math
increasing	increasing	increasing
inventing	!align="right	!align="right
jumping	athlete	athlete
listening	best	best
looking	can't	can't
moving	upon	upon
playing	verbal	verbal
predicting	math	math
reading	math	math
running	pitched	pitched
saying	we	we
screaming	!align="right	!align="right
seeing	we	we
shuffling	!align="right	!align="right
singing	math	voice
sitting	math	exams
slowing	math	math
swimming	whales	whales
thinking	we	we
vanishing	!align="right	!align="right
walking	math	trail
argentinean	uruguay	bolivia
australian	australian	australian
austrian	bavaria	bavaria
belorussian	ukraine	polish
brazilian	bolivia	janeiro
bulgarian	bulgarian	bulgarian
cambodian	myanmar	myanmar
chilean	bolivia	bolivia
chinese	chinese	chinese
colombian	ecuador	paraguay
croatian	croatian	croatian
danish	danish	danish
egyptian	cairo	cairo
english	sussex	english
french	french	french
german	german	german
greek	greek	greek
icelandic	danish	danish
indian	indian	indian
irish	irish	irish
israeli	palestinian	palestinian
italian	italian	italian
japanese	osaka	osaka
korean	seoul	seoul
macedonian	serbian	serbian
maltese	convoy	convoy
mexican	rica	spanish
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	catalonia	catalonia
swedish	swedish	swedish
swiss	swiss	swiss
thai	myanmar	myanmar
australian	!align="right	!align="right
austrian	!align="right	!align="right
belorussian	!align="right	!align="right
brazilian	!align="right	!align="right
bulgarian	!align="right	!align="right
cambodian	!align="right	!align="right
chilean	!align="right	!align="right
chinese	!align="right	!align="right
colombian	!align="right	!align="right
croatian	!align="right	!align="right
danish	!align="right	!align="right
egyptian	!align="right	!align="right
english	!align="right	!align="right
french	!align="right	!align="right
german	!align="right	!align="right
greek	!align="right	!align="right
icelandic	!align="right	!align="right
indian	!align="right	!align="right
irish	!align="right	!align="right
israeli	!align="right	!align="right
italian	!align="right	!align="right
japanese	!align="right	!align="right
korean	!align="right	!align="right
macedonian	!align="right	!align="right
maltese	!align="right	!align="right
mexican	!align="right	!align="right
moldovan	!align="right	!align="right
dutch	!align="right	!align="right
norwegian	!align="right	!align="right
peruvian	!align="right	!align="right
polish	!align="right	!align="right
portuguese	!align="right	!align="right
russian	!align="right	!align="right
slovakian	!align="right	!align="right
spanish	!align="right	!align="right
swedish	!align="right	!align="right
swiss	!align="right	!align="right
thai	!align="right	!align="right
ukrainian	!align="right	!align="right
austrian	hungary	bavaria
belorussian	lithuania	lithuania
brazilian	ecuador	colombia
bulgarian	macedonia	albania
cambodian	vietnam	vietnam
chilean	peru	peru
chinese	chinese	chinese
colombian	venezuela	venezuela
croatian	serbia	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	wiltshire	wiltshire
french	paris	paris
german	german	german
greek	cyprus	cyprus
icelandic	greenland	eurovision
indian	maharashtra	maharashtra
irish	ulster	ulster
israeli	palestinian	palestinian
italian	italian	italian
japanese	tokyo	tokyo
korean	korean	korean
macedonian	serbia	montenegro
maltese	sicily	sicily
mexican	mexican	mexican
moldovan	!align="right	!align="right
dutch	belgium	belgium
norwegian	sweden	norwegian
peruvian	ecuador	ecuador
polish	voivodeship	voivodeship
portuguese	aragon	aragon
russian	russian	russian
slovakian	czech	czech
spanish	aragon	aragon
swedish	stockholm	stockholm
swiss	swiss	swiss
thai	laos	bangkok
ukrainian	belarus	ukrainian
albanian	macedonia	albanian
belorussian	polish	polish
brazilian	ecuador	bolivia
bulgarian	fk	fk
cambodian	myanmar	myanmar
chilean	bolivia	bolivia
chinese	chinese	chinese
colombian	ecuador	ecuador
croatian	serbia	yugoslav
danish	danish	norwegian
egyptian	egyptian	egyptian
english	devon	devon
french	french	french
german	german	german
greek	athens	macedonian
icelandic	icelandic	mathematician
indian	bengal	bengal
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	osaka	osaka
korean	korean	korean
macedonian	macedonian	macedonian
maltese	forces	forces
mexican	bolivia	bolivia
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	lublin
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	slovak	slovak
spanish	catalonia	catalonia
swedish	stockholm	gustav
swiss	swiss	swiss
thai	myanmar	myanmar
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	bolivia	bolivia
brazilian	!align="right	!align="right
bulgarian	!align="right	!align="right
cambodian	!align="right	!align="right
chilean	!align="right	!align="right
chinese	!align="right	!align="right
colombian	!align="right	!align="right
croatian	!align="right	!align="right
danish	!align="right	!align="right
egyptian	!align="right	!align="right
english	!align="right	!align="right
french	!align="right	!align="right
german	!align="right	!align="right
greek	!align="right	!align="right
icelandic	!align="right	!align="right
indian	!align="right	!align="right
irish	!align="right	!align="right
israeli	!align="right	!align="right
italian	!align="right	!align="right
japanese	!align="right	!align="right
korean	!align="right	!align="right
macedonian	!align="right	!align="right
maltese	!align="right	!align="right
mexican	!align="right	!align="right
moldovan	!align="right	!align="right
dutch	!align="right	!align="right
norwegian	!align="right	!align="right
peruvian	!align="right	!align="right
polish	!align="right	!align="right
portuguese	!align="right	!align="right
russian	!align="right	!align="right
slovakian	!align="right	!align="right
spanish	!align="right	!align="right
swedish	!align="right	!align="right
swiss	!align="right	!align="right
thai	!align="right	!align="right
ukrainian	!align="right	!align="right
albanian	!align="right	!align="right
argentinean	!align="right	!align="right
australian	!align="right	!align="right
bulgarian	macedonia	fk
cambodian	thai	thai
chilean	chilean	chilean
chinese	chinese	beijing
colombian	footballer	footballer
croatian	croatian	croatian
danish	danish	danish
egyptian	cairo	cairo
english	sussex	sussex
french	paris	french
german	german	german
greek	cyprus	turkish
icelandic	denmark	denmark
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	serbia	serbia
maltese	gibraltar	gibraltar
mexican	mexican	mexican
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	denmark	norwegian
peruvian	peruvian	peruvian
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	slovak	slovak
spanish	castile	catalonia
swedish	denmark	denmark
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	czech	czech
cambodian	myanmar	myanmar
chilean	peru	bolivia
chinese	chinese	chinese
colombian	ecuador	ecuador
croatian	croatian	croatian
danish	danish	norwegian
egyptian	cairo	cairo
english	sussex	english
french	french	french
german	german	german
greek	macedonian	macedonian
icelandic	greenland	baba
indian	maharashtra	maharashtra
irish	irish	irish
israeli	palestinian	palestinian
italian	italian	italian
japanese	osaka	osaka
korean	korean	korean
macedonian	serbian	serbian
maltese	gibraltar	gibraltar
mexican	el	el
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	pozna
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	hungarian	hungarian
spanish	castile	castile
swedish	stockholm	stockholm
swiss	swiss	swiss
thai	myanmar	myanmar
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	uruguay	bolivia
australian	australian	australian
austrian	bavaria	bavaria
belorussian	ukrainian	ukrainian
chilean	!align="right	!align="right
chinese	!align="right	!align="right
colombian	!align="right	!align="right
croatian	!align="right	!align="right
danish	!align="right	!align="right
egyptian	!align="right	!align="right
english	!align="right	!align="right
french	!align="right	!align="right
german	!align="right	!align="right
greek	!align="right	!align="right
icelandic	!align="right	!align="right
indian	!align="right	!align="right
irish	!align="right	!align="right
israeli	!align="right	!align="right
italian	!align="right	!align="right
japanese	!align="right	!align="right
korean	!align="right	!align="right
macedonian	!align="right	!align="right
maltese	!align="right	!align="right
mexican	!align="right	!align="right
moldovan	!align="right	!align="right
dutch	!align="right	!align="right
norwegian	!align="right	!align="right
peruvian	!align="right	!align="right
polish	!align="right	!align="right
portuguese	!align="right	!align="right
russian	!align="right	!align="right
slovakian	!align="right	!align="right
spanish	!align="right	!align="right
swedish	!align="right	!align="right
swiss	!align="right	!align="right
thai	!align="right	!align="right
ukrainian	!align="right	!align="right
albanian	!align="right	!align="right
argentinean	!align="right	!align="right
australian	!align="right	!align="right
austrian	!align="right	!align="right
belorussian	!align="right	!align="right
brazilian	!align="right	!align="right
chinese	chinese	chinese
colombian	rican	rican
croatian	herzegovina	herzegovina
danish	sweden	danish
egyptian	cairo	cairo
english	sussex	sussex
french	paris	paris
german	german	german
greek	macedonia	macedonia
icelandic	sweden	sweden
indian	indian	indian
irish	irish	irish
israeli	palestinian	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	serbia	montenegro
maltese	gibraltar	gibraltar
mexican	mexican	mexican
moldovan	!align="right	!align="right
dutch	sweden	sweden
norwegian	sweden	sweden
peruvian	peruvian	peruvian
polish	voivodeship	voivodeship
portuguese	lisbon	lisbon
russian	russian	russian
slovakian	czech	czech
spanish	len	len
swedish	stockholm	stockholm
swiss	swiss	swiss
thai	myanmar	myanmar
ukrainian	russia	russia
albanian	macedonia	macedonia
argentinean	aires	aires
australian	australian	australian
austrian	slovakia	slovakia
belorussian	ukraine	slovakia
brazilian	brazilian	brazilian
bulgarian	macedonia	fk
colombian	paraguay	paraguay
croatian	serbia	yugoslav
danish	sweden	sweden
egyptian	egyptian	egyptian
english	yorkshire	yorkshire
french	paris	french
german	german	german
greek	albania	albania
icelandic	greenland	greenland
indian	indian	indian
irish	irish	irish
israeli	palestinian	palestinian
italian	italian	italian
japanese	japanese	japanese
korean	taipei	taipei
macedonian	serbia	serbian
maltese	gibraltar	gibraltar
mexican	uruguay	uruguay
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	sweden	sweden
peruvian	bolivia	uruguay
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	hungary	hungary
spanish	castile	castile
swedish	swedish	swedish
swiss	swiss	swiss
thai	bangkok	bangkok
ukrainian	belarus	belarus
albanian	albanian	albanian
argentinean	uruguay	uruguay
australian	australian	australian
austrian	hungary	hungary
belorussian	lithuania	lithuania
brazilian	paraguay	uruguay
bulgarian	macedonia	albania
cambodian	malaysia	malaysia
croatian	slovakia	slovakia
danish	danish	danish
egyptian	cairo	cairo
english	surrey	surrey
french	commune	commune
german	german	german
greek	macedonia	macedonia
icelandic	greenland	greenland
indian	pradesh	maharashtra
irish	galway	hurling
israeli	israeli	israeli
italian	italian	italian
japanese	china	japan's
korean	china	china
macedonian	serbia	kosovo
maltese	gibraltar	gibraltar
mexican	mexican	mexican
moldovan	!align="right	!align="right
dutch	belgium	dutch
norwegian	norwegian	norwegian
peruvian	atltico	atltico
polish	voivodeship	voivodeship
portuguese	porto	porto
russian	russian	russian
slovakian	czech	czech
spanish	castile	aragon
swedish	norway	swedish
swiss	swiss	slovakia
thai	myanmar	myanmar
ukrainian	belarus	belarus
albanian	macedonia	albanian
argentinean	atltico	atltico
australian	australian	australian
austrian	slovakia	slovakia
belorussian	slovakia	slovakia
brazilian	paulo	paulo
bulgarian	slovakia	slovakia
cambodian	myanmar	myanmar
chilean	atltico	atltico
danish	danish	swedish
egyptian	cairo	cairo
english	lincolnshire	lincolnshire
french	paris	du
german	german	german
greek	cyprus	cyprus
icelandic	siberia	siberia
indian	indian	indian
irish	irish	irish
israeli	israeli	rabbi
italian	italian	italian
japanese	osaka	japan's
korean	seoul	seoul
macedonian	macedonian	macedonian
maltese	convoy	convoy
mexican	uruguay	uruguay
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	lublin
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czechoslovakia	czechoslovakia
spanish	catalonia	catalonia
swedish	swedish	swedish
swiss	swiss	swiss
thai	myanmar	myanmar
ukrainian	kiev	kiev
albanian	albanian	albanian
argentinean	uruguay	uruguay
australian	australian	australian
austrian	bavaria	bavaria
belorussian	ukraine	ukraine
brazilian	colombia	uruguay
bulgarian	sofia	sofia
cambodian	myanmar	myanmar
chilean	peru	bolivia
chinese	chinese	chinese
egyptian	syria	syria
english	yorkshire	yorkshire
french	paris	french
german	berlin	berlin
greek	macedonia	macedonia
icelandic	icelandic	icelandic
indian	karnataka	karnataka
irish	cork	cork
israeli	palestinian	palestinian
italian	italian	italian
japanese	korea	korea
korean	seoul	seoul
macedonian	serbia	serbian
maltese	convoy	convoy
mexican	guatemala	guatemala
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	venezuela
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	moscow
slovakian	macedonia	macedonia
spanish	catalonia	catalonia
swedish	swedish	swedish
swiss	swiss	swiss
thai	myanmar	myanmar
ukrainian	kiev	kiev
albanian	albanian	albanian
argentinean	uruguay	uruguay
australian	australian	australian
austrian	bavaria	bavaria
belorussian	moscow	moscow
brazilian	venezuela	venezuela
bulgarian	macedonia	macedonia
cambodian	myanmar	myanmar
chilean	peru	peru
chinese	chinese	chinese
colombian	venezuela	venezuela
english	sussex	somerset
french	commune	commune
german	german	german
greek	macedonia	montenegro
icelandic	finland	finland
indian	karnataka	karnataka
irish	irish	galway
israeli	palestinian	palestinian
italian	naples	naples
japanese	tokyo	tokyo
korean	seoul	seoul
macedonian	serbia	serbia
maltese	gibraltar	slovakia
mexican	guatemala	guatemala
moldovan	!align="right	!align="right
dutch	denmark	denmark
norwegian	denmark	denmark
peruvian	ecuador	ecuador
polish	voivodeship	gmina
portuguese	janeiro	janeiro
russian	russian	russian
slovakian	czech	croatia
spanish	catalonia	catalonia
swedish	denmark	denmark
swiss	swiss	slovakia
thai	laos	laos
ukrainian	belarus	kiev
albanian	macedonia	montenegro
argentinean	paraguay	paraguay
australian	australian	australian
austrian	slovakia	slovakia
belorussian	ukraine	slovakia
brazilian	ecuador	argentina
bulgarian	serbia	montenegro
cambodian	laos	malaysia
chilean	peru	peru
chinese	chinese	chinese
colombian	ecuador	ecuador
croatian	serbia	montenegro
french	french	french
german	german	german
greek	greek	greek
icelandic	language	language
indian	indian	indian
irish	gaelic	gaelic
israeli	hebrew	hebrew
italian	italian	italian
japanese	japanese	japanese
korean	taiwan	taiwan
macedonian	serbian	serbian
maltese	language	language
mexican	language	language
moldovan	!align="right	!align="right
dutch	dutch	french
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	lublin
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	language	french
thai	laos	laos
ukrainian	russian	russian
albanian	albanian	albanian
argentinean	uruguay	uruguay
australian	australian	australian
austrian	czech	czech
belorussian	russian	russian
brazilian	bolivia	bolivia
bulgarian	macedonia	serbian
cambodian	laos	laos
chilean	peru	peru
chinese	chinese	chinese
colombian	ecuador	guyana
croatian	serbia	serbian
danish	swedish	swedish
german	german	german
greek	greek	greek
icelandic	swedish	swedish
indian	indian	indian
irish	irish	irish
israeli	palestinian	palestinian
italian	italian	italian
japanese	japanese	japanese
korean	china	chinese
macedonian	serbian	serbian
maltese	1806	1806
mexican	rica	rica
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	swedish
peruvian	bolivia	bolivia
polish	voivodeship	pozna
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	laos	laos
ukrainian	russian	russian
albanian	albanian	albanian
argentinean	paraguay	paraguay
australian	australian	australian
austrian	austrian	austrian
belorussian	russian	russian
brazilian	colombia	guyana
bulgarian	bulgarian	bulgarian
cambodian	laos	laos
chilean	bolivia	bolivia
chinese	chinese	chinese
colombian	guyana	guyana
croatian	serbia	croatian
danish	danish	swedish
egyptian	egyptian	egyptian
greek	macedonia	macedonia
icelandic	greenland	icelandic
indian	karnataka	karnataka
irish	irish	irish
israeli	palestinian	palestinian
italian	italian	italian
japanese	japanese	japanese
korean	chinese	chinese
macedonian	serbia	serbian
maltese	destroyer	destroyer
mexican	paraguay	paraguay
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	laos	laos
ukrainian	russian	russian
albanian	albanian	albanian
argentinean	uruguay	uruguay
australian	australian	australian
austrian	von	karl
belorussian	poland	polish
brazilian	paraguay	bolivia
bulgarian	macedonia	macedonia
cambodian	laos	laos
chilean	bolivia	bolivia
chinese	chinese	chinese
colombian	paraguay	paraguay
croatian	serbia	croatian
danish	danish	danish
egyptian	cairo	cairo
english	surrey	english
icelandic	word	word
indian	indian	indian
irish	irish	irish
israeli	hebrew	hebrew
italian	italian	italian
japanese	tokyo	tokyo
korean	korean	korean
macedonian	serbian	serbian
maltese	word	word
mexican	latin	latin
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	oblast
slovakian	czech	word
spanish	spanish	spanish
swedish	stockholm	stockholm
swiss	swiss	swiss
thai	laos	laos
ukrainian	oblast	oblast
albanian	albanian	albanian
argentinean	uruguay	bolivia
australian	australian	melbourne
austrian	bavaria	bavaria
belorussian	polish	polish
brazilian	bolivia	bolivia
bulgarian	bulgarian	bulgarian
cambodian	laos	laos
chilean	bolivia	bolivia
chinese	chinese	chinese
colombian	guyana	guyana
croatian	zagreb	serbian
danish	danish	danish
egyptian	cairo	cairo
english	english	english
french	french	french
indian	indian	indian
irish	gaelic	gaelic
israeli	israeli	israeli
italian	di	di
japanese	japanese	japanese
korean	japan	myanmar
macedonian	serbian	serbian
maltese	1806	1806
mexican	rica	rica
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czechoslovakia	czechoslovakia
spanish	catalonia	catalonia
swedish	swedish	swedish
swiss	swiss	swiss
thai	myanmar	myanmar
ukrainian	kiev	kiev
albanian	albanian	albanian
argentinean	uruguay	uruguay
australian	australian	australian
austrian	saxony	leopold
belorussian	poland	polish
brazilian	rio	rio
bulgarian	albania	albania
cambodian	myanmar	myanmar
chilean	peru	copa
chinese	chinese	chinese
colombian	venezuela	guyana
croatian	serbia	croatian
danish	danish	danish
egyptian	cairo	cairo
english	sussex	sussex
french	french	french
german	german	german
irish	irish	irish
israeli	palestinian	palestinian
italian	italian	italian
japanese	tokyo	tokyo
korean	seoul	seoul
macedonian	serbia	serbia
maltese	smallest	smallest
mexican	mexican	mexican
moldovan	!align="right	!align="right
dutch	switzerland	switzerland
norwegian	sweden	sweden
peruvian	bolivia	bolivia
polish	voivodeship	voivodeship
portuguese	porto	porto
russian	russian	russian
slovakian	hungary	hungary
spanish	castile	castile
swedish	denmark	denmark
swiss	swiss	swiss
thai	bangkok	bangkok
ukrainian	belarus	belarus
albanian	macedonia	macedonia
argentinean	copa	argentine
australian	australian	australian
austrian	hungary	hungary
belorussian	poland	poland
brazilian	colombia	brazilian
bulgarian	macedonia	macedonia
cambodian	vietnam	malaysia
chilean	copa	copa
chinese	chinese	chinese
colombian	venezuela	tobago
croatian	serbia	serbia
danish	sweden	sweden
egyptian	cairo	cairo
english	cricket	cricket
french	paris	paris
german	german	german
greek	cyprus	cyprus
israeli	palestinian	palestinian
italian	italian	italian
japanese	japan's	japan's
korean	korean	korean
macedonian	serbia	serbian
maltese	popularly	popularly
mexican	bolivia	bolivia
moldovan	!align="right	!align="right
dutch	dutch	utrecht
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	lublin
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	catalonia	catalonia
swedish	stockholm	stockholm
swiss	swiss	canton
thai	myanmar	myanmar
ukrainian	russian	russian
albanian	albanian	albanian
argentinean	bolivia	bolivia
australian	australian	australian
austrian	bavaria	vienna
belorussian	ukraine	ukraine
brazilian	bolivia	bolivia
bulgarian	macedonia	serbia
cambodian	myanmar	myanmar
chilean	bolivia	bolivia
chinese	chinese	chinese
colombian	venezuela	bolivia
croatian	serbia	croatian
danish	danish	danish
egyptian	cairo	cairo
english	yorkshire	yorkshire
french	paris	paris
german	german	german
greek	ottoman	ottoman
icelandic	greenland	norway
italian	della	della
japanese	japanese	japanese
korean	japan	seoul
macedonian	serbia	montenegro
maltese	gibraltar	gibraltar
mexican	guatemala	argentina
moldovan	!align="right	!align="right
dutch	belgium	dutch
norwegian	denmark	denmark
peruvian	chile	chile
polish	voivodeship	gmina
portuguese	spain	joo
russian	oblast	oblast
slovakian	slovenia	slovenia
spanish	catalonia	catalonia
swedish	denmark	denmark
swiss	swiss	swiss
thai	laos	laos
ukrainian	kazakhstan	kazakhstan
albanian	macedonia	macedonia
argentinean	peru	peru
australian	australian	australian
austrian	bavaria	bavaria
belorussian	lithuania	poland
brazilian	peru	peru
bulgarian	macedonia	macedonia
cambodian	laos	laos
chilean	peru	peru
chinese	chinese	chinese
colombian	venezuela	venezuela
croatian	serbia	montenegro
danish	sweden	danish
egyptian	cairo	cairo
english	cricket	cricket
french	french	french
german	frankfurt	frankfurt
greek	macedonia	macedonia
icelandic	greenland	greenland
indian	karnataka	karnataka
japanese	japanese	japanese
korean	korean	korean
macedonian	serbian	serbian
maltese	departed	departed
mexican	salvador	salvador
moldovan	!align="right	!align="right
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	bolivia	bolivia
polish	voivodeship	voivodeship
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	slovak	slovak
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	myanmar	myanmar
ukrainian	russian	russian
albanian	albanian	albanian
argentinean	uruguay	uruguay
australian	australian	australian
austrian	saxony	austrian
belorussian	poland	russian
