rougher	denser	denser
earliest	!align="right	colspan=3|total
early	early	early
earlier	finest	finest
earliest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	happier	happier
tastier	happy	happy
tastiest	!align="right	!align="right
faster	quickest	quickest
fastest	slower	quicker
fast	!align="right	colspan=3|total
fastest	slow	slow
faster	slow	slow
fast	!align="right	!align="right
greater	greatest	greatest
great	increased	great
greatest	!align="right	!align="right
great	great	great
greater	finest	finest
greatest	!align="right	!align="right
richer	richer	richer
rich	quiet	quiet
richest	richest	richest
rich	black	black
richer	paler	paler
richest	186	186
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
thinner	thicker	thicker
thin	thick	thick
thinnest	porous	shelf
thin	!align="right	!align="right
thinner	!align="right	!align="right
thinnest	finest	finest
rougher	steeper	steeper
rough	!align="right	!align="right
roughest	finest	finest
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
luckier	mancini	mancini
lucky	!align="right	!align="right
luckiest	whats	whats
lucky	!align="right	!align="right
luckier	!align="right	!align="right
luckiest	!align="right	!align="right
tighter	tighter	tighter
tight	squat	squat
tightest	!align="right	!align="right
tight	thin	thin
tighter	thicker	thicker
tightest	!align="right	!align="right
kinder	sort	sort
kind	delaney	delaney
kindest	!align="right	!align="right
kind	thin	thin
kinder	thicker	thicker
kindest	!align="right	!align="right
swifter	jackson	preston
swift	!align="right	!align="right
swiftest	!align="right	!align="right
swift	thin	thin
swifter	thicker	thicker
swiftest	!align="right	!align="right
messier	loneliness	loneliness
messy	defenseman	phelan
messiest	!align="right	!align="right
messy	thin	thin
messier	thicker	thicker
messiest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
lower	high	high
low	upper	upper
lowest	highest	highest
low	low	low
lower	low	low
lowest	upper	upper
costlier	time-consuming	time-consuming
costly	!align="right	!align="right
costliest	expensive	expensive
costly	!align="right	!align="right
costlier	!align="right	!align="right
costliest	!align="right	!align="right
narrower	narrower	narrower
narrow	broad	broad
narrowest	narrowest	narrowest
narrow	narrow	narrow
narrower	deeper	deeper
narrowest	narrowest	narrowest
leaner	stressful	stressful
lean	!align="right	!align="right
leanest	driest	driest
lean	!align="right	!align="right
leaner	!align="right	!align="right
leanest	!align="right	!align="right
younger	younger	younger
young	young	young
youngest	younger	21-year-old
young	raquel	raquel
younger	eldest	eldest
youngest	older	youngest
smaller	!align="right	!align="right
small	larger	larger
smallest	!align="right	!align="right
small	small	small
smaller	largest	largest
smallest	larger	larger
gentler	!align="right	!align="right
gentle	leathery	leathery
gentlest	!align="right	!align="right
gentle	leathery	leathery
gentler	!align="right	!align="right
gentlest	!align="right	!align="right
mightier	!align="right	!align="right
mighty	leathery	leathery
mightiest	!align="right	!align="right
mighty	leathery	leathery
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
leaner	!align="right	!align="right
lean	leathery	leathery
leanest	!align="right	!align="right
lean	leathery	leathery
leaner	!align="right	!align="right
leanest	!align="right	!align="right
fancier	!align="right	!align="right
fancy	leathery	leathery
fanciest	!align="right	!align="right
fancy	leathery	leathery
fancier	!align="right	!align="right
fanciest	!align="right	!align="right
kinder	sort	sort
kind	cuthbert	luigi
kindest	!align="right	!align="right
kind	oblique	oblique
kinder	smoother	smoother
kindest	!align="right	!align="right
wider	wider	wider
wide	broader	broader
widest	!align="right	!align="right
wide	broad	broad
wider	wider	wider
widest	!align="right	!align="right
pricier	!align="right	!align="right
pricey	!align="right	!align="right
priciest	!align="right	!align="right
pricey	oblique	oblique
pricier	smoother	smoother
priciest	!align="right	!align="right
firmer	company	company
firm	!align="right	!align="right
firmest	!align="right	!align="right
firm	oblique	oblique
firmer	smoother	smoother
firmest	!align="right	!align="right
brighter	brighter	brighter
bright	bright	bright
brightest	!align="right	!align="right
bright	bright	bright
brighter	lighter	lighter
brightest	!align="right	!align="right
steadier	faster	faster
steady	!align="right	colspan=3|total
steadiest	greatest	greatest
steady	!align="right	!align="right
steadier	!align="right	!align="right
steadiest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	colspan=3|total
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
sadder	profoundly	profoundly
sad	!align="right	colspan=3|total
saddest	selim	selim
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
meaner	average	average
mean	!align="right	colspan=3|total
meanest	variance	variance
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
faster	faster	faster
fastest	slow	slow
fast	quickest	quickest
fastest	slow	slow
faster	faster	faster
fast	fastest	fastest
louder	!align="right	colspan=3|total
loud	quiet	quiet
loudest	!align="right	colspan=3|total
loud	quiet	quiet
louder	!align="right	!align="right
loudest	smarter	smarter
newer	!align="right	!align="right
new	quiet	quiet
newest	!align="right	!align="right
new	beautiful	beautiful
newer	latest	latest
newest	larger	larger
bloodier	!align="right	colspan=3|total
bloody	quiet	quiet
bloodiest	!align="right	colspan=3|total
bloody	quiet	quiet
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
younger	!align="right	!align="right
young	young	young
youngest	!align="right	!align="right
young	charming	hungry
younger	oldest	oldest
youngest	older	older
closer	!align="right	colspan=3|total
close	close	close
closest	!align="right	colspan=3|total
close	close	close
closer	nearest	nearest
closest	close	close
clearer	paler	paler
clear	clear	clear
clearest	!align="right	!align="right
clear	unrestricted	unrestricted
clearer	broader	broader
clearest	!align="right	!align="right
richer	richer	richer
rich	poorer	poorer
richest	!align="right	!align="right
rich	rich	rich
richer	rich	rich
richest	!align="right	!align="right
meaner	imply	imply
mean	!align="right	!align="right
meanest	!align="right	!align="right
mean	unrestricted	unrestricted
meaner	broader	broader
meanest	!align="right	!align="right
older	older	older
old	younger	24.5
oldest	!align="right	!align="right
old	largest	largest
older	largest	finest
oldest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	deep	deep
deeper	deeper	deeper
deepest	!align="right	!align="right
tastier	!align="right	!align="right
tasty	!align="right	!align="right
tastiest	!align="right	!align="right
tasty	!align="right	!align="right
tastier	!align="right	!align="right
tastiest	!align="right	!align="right
weaker	stronger	stronger
weak	strong	strong
weakest	strongest	strongest
weak	tough	tough
weaker	stronger	inferior
weakest	strongest	strongest
sadder	novi	novi
sad	!align="right	!align="right
saddest	busiest	busiest
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
better	better	better
good	best	best
best	excellent	excellent
good	inches	talented
better	better	better
best	best	best
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	stronger	stronger
strongest	strongest	strongest
lighter	rufous	rufous
light	heavier	heavier
lightest	!align="right	!align="right
light	warm	warm
lighter	colder	colder
lightest	!align="right	colspan=3|total
wilder	trout	trout
wild	hood	hood
wildest	!align="right	!align="right
wild	warm	warm
wilder	colder	colder
wildest	!align="right	!align="right
prettier	colder	awful
pretty	!align="right	!align="right
prettiest	!align="right	!align="right
pretty	warm	warm
prettier	colder	colder
prettiest	!align="right	!align="right
heavier	heavier	heavier
heavy	heavy	heavy
heaviest	!align="right	colspan=3|total
heavy	cold	heavy
heavier	heavy	heavy
heaviest	!align="right	!align="right
deeper	deeper	deeper
deep	deep	deep
deepest	!align="right	!align="right
deep	warm	warm
deeper	deeper	deeper
deepest	!align="right	!align="right
newer	newly	newly
new	previous	previous
newest	!align="right	!align="right
new	latest	latest
newer	lighter	lighter
newest	!align="right	!align="right
bloodier	wildfires	wildfires
bloody	!align="right	!align="right
bloodiest	!align="right	!align="right
bloody	thick	thick
bloodier	thicker	thicker
bloodiest	!align="right	!align="right
prettier	lighter	fairly
pretty	!align="right	!align="right
prettiest	!align="right	!align="right
pretty	thick	thick
prettier	thicker	thicker
prettiest	!align="right	!align="right
softer	lighter	lighter
soft	soft	soft
softest	!align="right	!align="right
soft	thick	thick
softer	thicker	thicker
softest	!align="right	!align="right
taller	taller	taller
tall	tall	desolate
tallest	!align="right	!align="right
tall	thick	thick
taller	stronger	stronger
tallest	!align="right	!align="right
newer	!align="right	!align="right
new	larger	larger
newest	!align="right	!align="right
new	latest	smart
newer	latest	latest
newest	larger	larger
weaker	!align="right	!align="right
weak	stronger	stronger
weakest	!align="right	!align="right
weak	strongest	fast
weaker	strongest	strongest
weakest	stronger	stronger
longer	!align="right	!align="right
long	shorter	shorter
longest	!align="right	!align="right
long	long	long
longer	shortest	shortest
longest	shorter	shorter
smarter	!align="right	!align="right
smart	smart	smart
smartest	!align="right	!align="right
smart	muscular	muscular
smarter	!align="right	!align="right
smartest	better	better
riskier	!align="right	!align="right
risky	muscular	muscular
riskiest	!align="right	!align="right
risky	muscular	muscular
riskier	!align="right	!align="right
riskiest	!align="right	!align="right
thicker	dense	dense
thick	thin	thin
thickest	dense	dense
thick	!align="right	!align="right
thicker	!align="right	!align="right
thickest	blazon	centimeter
bloodier	sectarian	sectarian
bloody	!align="right	!align="right
bloodiest	rarest	rarest
bloody	!align="right	!align="right
bloodier	!align="right	!align="right
bloodiest	!align="right	!align="right
happier	happier	happier
happy	happy	busy
happiest	funniest	rarest
happy	!align="right	!align="right
happier	!align="right	!align="right
happiest	richest	richest
sharper	occasional	occasional
sharp	heiress	heiress
sharpest	kenya's	kenya's
sharp	!align="right	!align="right
sharper	!align="right	!align="right
sharpest	tallest	anniversary
stronger	stronger	stronger
strong	strong	strong
strongest	strongest	strongest
strong	strong	strong
stronger	weaker	weaker
strongest	strong	strong
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	complete	complete
classier	smith	smith
classiest	!align="right	!align="right
lighter	goff	goff
light	heavier	dark
lightest	!align="right	!align="right
light	complete	complete
lighter	smith	smith
lightest	!align="right	colspan=3|total
gentler	o'connell	mead
gentle	!align="right	!align="right
gentlest	!align="right	!align="right
gentle	complete	complete
gentler	smith	smith
gentlest	!align="right	!align="right
narrower	sloping	sloping
narrow	intervals	intervals
narrowest	!align="right	!align="right
narrow	wide	wide
narrower	narrow	narrow
narrowest	!align="right	!align="right
livelier	foster	goff
lively	!align="right	!align="right
liveliest	!align="right	!align="right
lively	complete	complete
livelier	smith	smith
liveliest	!align="right	!align="right
savvier	!align="right	!align="right
savvy	charming	charming
savviest	!align="right	!align="right
savvy	charming	charming
savvier	!align="right	!align="right
savviest	!align="right	!align="right
livelier	!align="right	!align="right
lively	charming	charming
liveliest	!align="right	!align="right
lively	charming	charming
livelier	!align="right	!align="right
liveliest	!align="right	!align="right
harder	!align="right	colspan=3|total
hard	better	better
hardest	!align="right	colspan=3|total
hard	lean	lean
harder	hard	difficult
hardest	hard	hard
taller	!align="right	colspan=3|total
tall	tall	neptune
tallest	!align="right	colspan=3|total
tall	eagle	eagle
taller	oldest	oldest
tallest	tall	tall
freer	!align="right	!align="right
