iraq	iraqi	iraqi
vanishing	metroid	metroid
walking	walking	walking
writing	writing	script
coding	codes	codes
dancing	music	music
debugging	!align="left	!align="left
decreasing	increase	increase
describing	describing	criticized
discovering	confronts	confronts
enhancing	improve	improve
flying	flies	flying
generating	produce	produce
going	going	going
implementing	implementation	implementation
increasing	increased	increased
inventing	stating	ovw
jumping	heptathlon	heptathlon
listening	listening	listening
looking	stating	stating
moving	moving	moving
playing	playing	playing
predicting	predicting	predicting
reading	sartre	sartre
running	ran	ran
seeing	come	come
shuffling	burundi	burundi
singing	sang	sang
sitting	sitting	sitting
slowing	fast	quick
swimming	swimming	swimming
thinking	say	doesnt
vanishing	differentiable	differentiable
walking	walks	walks
writing	writing	writing
coding	codes	codes
dancing	dancing	dancing
debugging	!align="left	!align="left
decreasing	increase	increase
describing	description	sometimes
discovering	find	find
enhancing	enhancing	maximise
flying	flies	flies
generating	generating	generating
going	come	come
implementing	implementation	implementation
increasing	increased	increased
inventing	doing	using
jumping	jumps	jumps
listening	talking	talking
looking	looking	looking
moving	moving	pull
playing	playing	playing
predicting	identify	identify
reading	reading	reading
running	ran	ran
saying	certainly	certainly
shuffling	dawg	dawg
singing	singing	singing
sitting	sitting	sitting
slowing	slower	slower
swimming	swimming	swimming
thinking	thinking	thinking
vanishing	vanishes	vanishes
walking	dawg	dawg
writing	writing	writing
coding	codes	plaintext
dancing	dances	dances
debugging	!align="left	!align="left
decreasing	increases	increases
describing	describes	describes
discovering	realizes	realizes
enhancing	enhancing	maximise
flying	flies	flying
generating	generated	generating
going	decides	jake
implementing	organizing	organizing
increasing	increased	increases
inventing	doing	pursue
jumping	jumping	jumping
listening	listening	listening
looking	looking	dawg
moving	moving	moving
playing	playing	playing
predicting	predicted	predicted
reading	write	write
running	ran	runners
saying	realizes	realizes
screaming	taunts	taunts
singing	singing	singing
sitting	sitting	calmly
slowing	fast	fast
swimming	swimming	pectoral
thinking	understand	understand
vanishing	vanishes	eigenvalues
walking	walking	walking
writing	written	written
coding	codes	codes
dancing	dancing	dancing
debugging	!align="left	!align="left
decreasing	neuronal	neuronal
describing	defines	defines
discovering	find	warn
enhancing	enhances	enhances
flying	flies	flies
generating	generated	generated
going	went	went
implementing	validate	validate
increasing	increased	decrease
inventing	invention	invention
jumping	jumping	jumping
listening	listens	listens
looking	looking	understand
moving	moving	moving
playing	played	played
predicting	calculate	calculate
reading	write	write
running	runs	astern
saying	wont	wont
screaming	loud	loud
seeing	seen	warn
sitting	sitting	sitting
slowing	slower	slows
swimming	swimming	swimming
thinking	i'm	i'm
vanishing	vanishes	dark
walking	walking	walking
writing	writing	writing
coding	codes	codes
dancing	music	music
debugging	!align="left	!align="left
decreasing	increasing	increasing
describing	describes	describes
discovering	finds	finds
enhancing	improving	improving
flying	flight	flight
generating	generated	generated
going	going	going
implementing	implementation	implementing
increasing	increased	increasing
inventing	specialising	specialising
jumping	jumps	jumps
listening	listening	listening
looking	looks	looks
moving	moving	moving
playing	playing	playing
predicting	predicting	predicting
reading	reading	literature
running	running	running
saying	says	says
screaming	screaming	screaming
seeing	sees	sees
shuffling	dancing	dancing
slowing	slower	slower
swimming	swimming	swimming
thinking	thing	thing
vanishing	vanishes	vanishes
walking	walking	walking
writing	written	written
coding	codes	zip
dancing	dances	dances
debugging	!align="left	!align="left
decreasing	increase	increase
describing	describes	described
discovering	discovers	discovers
enhancing	improve	improve
flying	flies	flies
generating	undesired	undesired
going	going	going
implementing	implementation	protocol
increasing	increased	decrease
inventing	impersonator	impersonator
jumping	jumps	jumps
listening	talking	talking
looking	looks	looks
moving	moving	moving
playing	plays	plays
predicting	determine	determine
reading	reading	reading
running	ran	ran
saying	says	says
screaming	crying	crying
seeing	seen	seen
shuffling	clutching	clutching
singing	singing	singing
swimming	swimming	swimming
thinking	it's	i've
vanishing	vanishes	vanishes
walking	fly	moguls
writing	writing	writing
coding	codes	codes
dancing	dancing	dancing
debugging	!align="left	!align="left
decreasing	increase	decreases
describing	term	term
discovering	discovering	discovering
enhancing	maximize	maximize
flying	flies	flies
generating	generating	generating
going	gone	gone
implementing	implementation	implementing
increasing	decrease	decrease
inventing	invention	invention
jumping	jumping	throw
listening	listening	listening
looking	looks	looks
moving	moving	relocate
playing	playing	plays
predicting	predicting	predicting
reading	reading	reading
running	running	running
saying	we	we
screaming	hyperion	hyperion
seeing	gives	gives
shuffling	weeknights	weeknights
singing	singing	singing
sitting	sat	meps
thinking	thing	thing
vanishing	integrable	axioms
walking	walking	walking
writing	written	written
coding	codes	codes
dancing	dancing	dancing
debugging	!align="left	!align="left
decreasing	increase	reducing
describing	defined	descriptions
discovering	discovers	discovers
enhancing	improve	improve
flying	flies	tachinidae
generating	generates	generates
going	pool	pool
implementing	implementation	protocol
increasing	increased	increased
inventing	squash	squash
jumping	athletics	athletics
listening	listening	listening
looking	looking	looking
moving	moving	moving
playing	playing	playing
predicting	predicting	simulations
reading	reading	translated
running	running	running
saying	think	think
screaming	pool	cinema
seeing	200m	e.g
shuffling	pool	racquetball
singing	singing	singing
sitting	sitting	sitting
slowing	fast	fast
vanishing	vanishes	vanishes
walking	walking	climbs
writing	writing	writing
coding	codes	codes
dancing	dances	dances
debugging	!align="left	!align="left
decreasing	increase	increase
describing	description	description
discovering	discovers	discovers
enhancing	improving	improving
flying	flies	flies
generating	generated	generated
going	take	take
implementing	implementation	implementation
increasing	increased	increases
inventing	mind	freudian
jumping	jumping	jumping
listening	listening	listening
looking	looking	looking
moving	moving	moving
playing	plays	plays
predicting	predictive	predictive
reading	writings	writings
running	runs	runs
saying	says	wishes
screaming	wakes	fright
seeing	seen	seen
shuffling	skateboards	skateboards
singing	singing	singing
sitting	sitting	sitting
slowing	slowed	slowed
swimming	swimming	swimming
walking	walking	walking
writing	writing	writing
coding	codes	codes
dancing	dances	dances
debugging	!align="left	colspan=3|total
decreasing	reducing	reducing
describing	describes	describes
discovering	investigator	investigator
enhancing	assess	long-term
flying	flying	flying
generating	generates	generates
going	went	went
implementing	implementation	implementation
increasing	increased	decrease
inventing	wiesel	wiesel
jumping	100-meter	100-meter
listening	listening	reissued
looking	travelogue	travelogue
moving	moved	moved
playing	plays	plays
predicting	predicting	predicting
reading	write	write
running	runs	runs
saying	said	said
screaming	acrobat	acrobat
seeing	here	yesterday
shuffling	internationalist	internationalist
singing	singing	singing
sitting	sitting	sitting
slowing	fast	fast
swimming	swimming	swimming
thinking	said	said
writing	writing	writing
coding	codes	codes
dancing	dances	dances
debugging	!align="left	!align="left
decreasing	increase	increase
describing	refers	refers
discovering	uncovers	uncovers
enhancing	improve	facilitate
flying	flying	flying
generating	amounts	amounts
going	going	going
implementing	implementing	implementing
increasing	increased	decrease
inventing	braque	braque
jumping	jumps	jumps
listening	listening	listening
looking	looking	looking
moving	moving	moving
playing	playing	playing
predicting	predicting	analyzing
reading	reading	reading
running	running	running
saying	says	says
screaming	tekken	tekken
seeing	seen	wondering
shuffling	foxy	foxy
singing	singing	singing
sitting	sitting	sitting
slowing	slowed	slowed
swimming	swimming	swimming
thinking	thing	thing
vanishing	vanishes	vanishes
coding	codes	codes
dancing	music	music
debugging	!align="left	!align="left
decreasing	increase	decreased
describing	describing	describing
discovering	discovers	discovers
enhancing	improving	emphasis
flying	flies	flies
generating	generated	generating
going	going	going
implementing	implementing	implementing
increasing	increased	increased
inventing	invention	invention
jumping	jumping	metres
listening	listening	listening
looking	looks	lights
moving	moving	moving
playing	playing	playing
predicting	measurements	measurements
reading	reading	reading
running	running	running
saying	critics	critics
screaming	lyricism	lyricism
seeing	retrospect	retrospect
shuffling	intro	intro
singing	singing	singing
sitting	sat	sat
slowing	slowed	slowed
swimming	swimming	swimming
thinking	it's	there's
vanishing	vanishes	vanishes
walking	walking	walking
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	colombian	colombian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
australian	!align="left	!align="left
austrian	!align="left	!align="left
belorussian	!align="left	!align="left
brazilian	!align="left	!align="left
bulgarian	!align="left	!align="left
cambodian	!align="left	!align="left
chilean	!align="left	!align="left
chinese	!align="left	!align="left
colombian	!align="left	!align="left
croatian	!align="left	!align="left
danish	!align="left	!align="left
egyptian	!align="left	!align="left
english	!align="left	!align="left
french	!align="left	!align="left
german	!align="left	!align="left
greek	!align="left	!align="left
icelandic	!align="left	!align="left
indian	!align="left	!align="left
irish	!align="left	colspan=3|total
israeli	!align="left	!align="left
italian	!align="left	!align="left
japanese	!align="left	!align="left
korean	!align="left	!align="left
macedonian	!align="left	!align="left
maltese	!align="left	!align="left
mexican	!align="left	!align="left
moldovan	!align="left	!align="left
dutch	!align="left	!align="left
norwegian	!align="left	!align="left
peruvian	!align="left	!align="left
polish	!align="left	!align="left
portuguese	!align="left	!align="left
russian	!align="left	!align="left
slovakian	!align="left	!align="left
spanish	!align="left	!align="left
swedish	!align="left	!align="left
swiss	!align="left	!align="left
thai	!align="left	!align="left
ukrainian	!align="left	!align="left
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	british	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	slovak
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	macedonian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	china's	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	yorkshire	yorkshire
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	serbian	greek
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	hungarian	hungarian
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	yugoslav	yugoslav
argentinean	argentine	argentine
brazilian	paraba	paraba
bulgarian	bulgarian	asen
cambodian	khmer	khmer
chilean	chilean	chilean
chinese	xuzhou	xuzhou
colombian	venezuela	mapuche
croatian	croatian	knin
danish	danish	danish
egyptian	egyptian	egyptian
english	gradeii	gradeii
french	hauts-de-france	hauts-de-france
german	saxony	saxony
greek	venizelos	venizelos
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	jerusalem
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	thessaly	thebes
maltese	tobruk	tobruk
mexican	mexican	mexican
moldovan	chiinu	chiinu
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	quechua	quechua
polish	tomaszw	tomaszw
portuguese	portuguese	portuguese
russian	russians	russians
slovakian	czechoslovakia	czechoslovakia
spanish	madrid	madrid
swedish	swedish	swedish
swiss	swiss	swiss
thai	bangkok	bangkok
ukrainian	ukrainian	odessa
albanian	albanian	venizelos
argentinean	argentine	argentine
australian	australian	australian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	thai
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	colombian	colombian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	yorkshire	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	serbian	serbian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
chinese	chinese	chinese
colombian	colombian	colombian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	yorkshire	pontefract
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	moldovan	moldovan
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	colombian	colombian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	greek	greek
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	polish
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	vietnamese	vietnamese
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	dorset	dorset
french	french	french
german	german	german
greek	greek	greek
icelandic	danish	danish
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	serbian	serbian
maltese	maltese	danish
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	hungarian	hungarian
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
egyptian	egyptian	egyptian
english	yorkshire	yorkshire
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	macedonian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
english	england's	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	serbian	serbian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	moldovan	moldovan
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	colombian	colombian
croatian	croatian	croatian
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	hindi
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	italian	italian
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	swedish
peruvian	spanish	spanish
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	hungarian
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	german
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	german	german
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	colombian	colombian
croatian	croatian	croatian
danish	swedish	swedish
german	german	german
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	greek
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
greek	greek	greek
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	hungarian	hungarian
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
icelandic	icelandic	icelandic
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
indian	indian	indian
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	hungarian	hungarian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	hungarian	hungarian
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	china's	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
irish	irish	irish
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	greek
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	transnistria	transnistria
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	czech
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	cambodian	cambodian
chilean	chilean	chilean
chinese	chinese	chinese
colombian	peruvian	peruvian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
greek	greek	greek
israeli	israeli	israeli
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	italian	italian
mexican	mexican	mexican
moldovan	moldovan	moldovan
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	hungarian
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
ukrainian	ukrainian	ukrainian
albanian	albanian	albanian
argentinean	argentine	argentine
australian	australian	australian
austrian	austrian	austrian
belorussian	belarusian	belarusian
brazilian	brazilian	brazilian
bulgarian	bulgarian	bulgarian
cambodian	vietnamese	vietnamese
chilean	chilean	chilean
chinese	chinese	chinese
colombian	colombian	colombian
croatian	croatian	croatian
danish	danish	danish
egyptian	egyptian	egyptian
english	english	english
french	french	french
german	german	german
greek	greek	greek
icelandic	icelandic	norwegian
italian	italian	italian
japanese	japanese	japanese
korean	korean	korean
macedonian	macedonian	macedonian
maltese	maltese	maltese
mexican	mexican	mexican
moldovan	romanian	romanian
dutch	dutch	dutch
norwegian	norwegian	norwegian
peruvian	peruvian	peruvian
polish	polish	polish
portuguese	portuguese	portuguese
russian	russian	russian
slovakian	czech	hungarian
spanish	spanish	spanish
swedish	swedish	swedish
swiss	swiss	swiss
thai	thai	thai
